order_id,customer_id,region_id,order_date,shipping_speed,discount_rate
998d1481-7795-4095-9566-6f56c4318a12,3dd8aab8-8536-48c5-9ef5-aa078e3b5f7e,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-02-03,standard,0.05
08fe26e3-8b14-4618-9572-90483f4f2eec,a234e2f4-9137-4672-89cf-c143522e1d7c,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-09-14,standard,0.1
e114dd70-fc9f-408c-b995-490a920d54cb,4e156423-c3ee-420c-b7d7-c248643660c4,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-01-24,standard,0.1
95e80db9-0bea-4fed-9945-e2f2625a7664,5b6b7c76-178d-4aa8-a3f6-27ca312b2ea6,8182ee42-76a0-4120-a514-bebaa2a24738,2025-05-19,standard,0.0
e06f1181-9222-4e64-8648-044e1feedad8,4b5017ca-aa58-4817-8104-ae222ea6ea54,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-12-19,express,0.05
1c7b8bba-7c82-498b-a399-050854300f39,07d45f7b-1b34-4b5e-9d58-1e362e82a9fb,a3faeb99-8283-4c62-a859-9b7e7207efc7,2025-03-21,standard,0.0
55cf70cc-c304-47b2-a854-ccc8ba856b63,6026a053-09b6-451a-83f1-d8b8f097cb26,a3faeb99-8283-4c62-a859-9b7e7207efc7,2025-03-04,standard,0.05
b9d89ebb-8bdc-4689-acf2-033074fcb259,21b14925-953e-4f10-859f-d74e75241466,8182ee42-76a0-4120-a514-bebaa2a24738,2025-12-13,express,0.1
9732bf6f-d2fe-46e4-a688-76af114d6381,ab73c233-7451-49f6-ba36-51931b8c9f06,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-07-31,standard,0.1
e81a6e66-90b7-4bed-8b61-4ed9a31faab1,a9f03ecb-bd52-4b7e-a5e2-1b670f6a33df,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-04-05,standard,0.0
6aed61f0-4724-4dcc-9618-d0a9132353e7,333d2c13-11f2-4499-b68a-aaa4a48eb9d3,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-03-15,express,0.1
5aded67a-3857-495c-8262-e4110d5538b6,3dd8aab8-8536-48c5-9ef5-aa078e3b5f7e,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-04-22,express,0.05
c5bc76fd-30dc-446f-8290-16b006dd65bf,a5b6db35-ca49-49e2-9b60-c7e8d9b9a10b,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-02-13,standard,0.0
0120d06d-7687-46d2-af5e-1480a78a1f13,15e9ce3d-d124-427a-8ab5-1bc7a30844ea,a3faeb99-8283-4c62-a859-9b7e7207efc7,2025-10-12,standard,0.05
ca46cc98-9463-46ad-bf9f-1f19e107e6e4,ad4bdfb5-9644-4476-baa3-b613130f02dd,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-03-03,standard,0.05
3456c0b8-dc9a-4775-8ecd-3d6951e9b08a,e4f3d484-5b26-4dc4-86c9-56d8e94db83e,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-10-04,standard,0.0
7c6eed6f-fa4a-4250-bc87-7d0e59ce0766,80911ee2-f3ca-44d6-b720-1c7ca7e4497b,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-07-29,standard,0.0
7f4849f4-1962-488c-a8c6-5386015ca407,7040b939-d899-4390-b84d-659d40e2b884,7a899d47-a4ee-4cee-824e-67d5f79c9661,2025-02-25,express,0.0
b180ee62-926e-44d3-a40a-16c72646473f,2dbe5564-d2fe-4068-a394-f37275a9089c,a3faeb99-8283-4c62-a859-9b7e7207efc7,2025-12-24,express,0.05
6145c4a0-4645-43b9-8b2c-ae99e05f3550,0cf7a949-67c4-4dc5-88fb-3decc31d4a0e,8182ee42-76a0-4120-a514-bebaa2a24738,2025-07-02,express,0.05
2c27c015-8c5c-4f4d-ac1d-8f4f899acfe5,a9fdb920-60f2-4513-972f-7aa725cfebbd,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-11-16,standard,0.1
59650ec8-c301-41d0-a41d-d81f17c0306d,2f7a7c78-d38e-4432-92bb-cac95e82b6f0,0f8de1db-41a1-4d70-9c3c-05bb9c172d1c,2025-06-05,express,0.05
