order_item_id,order_id,product_id,quantity,item_price
f081833c-0448-4c58-8f4b-5a99eb2d1d6f,998d1481-7795-4095-9566-6f56c4318a12,9e1743aa-2400-4043-944c-dd48aa37f611,3,369.07
6c676b44-e206-45da-bc93-bcae609657fb,998d1481-7795-4095-9566-6f56c4318a12,33f31cba-ee59-495f-9e56-87ba2351ba04,1,51.36
7871aafa-3f9d-4d7d-98c5-594c3f914571,08fe26e3-8b14-4618-9572-90483f4f2eec,c8c57586-1e07-469f-a766-3496bbf11645,1,47.81
06597ece-d384-47e9-a8f6-3154e7782c28,08fe26e3-8b14-4618-9572-90483f4f2eec,f3c8bc43-1a8c-413c-b2b3-00cc2f43b1c3,2,344.58
91bcce15-109b-43eb-9a7a-3462986cdca5,e114dd70-fc9f-408c-b995-490a920d54cb,d50a1a9d-aa10-4ac7-a321-b5ad3b055859,2,59.96
03318986-892c-4e93-8bdf-3d15459c917b,e114dd70-fc9f-408c-b995-490a920d54cb,899e1649-d181-4434-8693-f5ec040134bd,1,61.39
f398fc93-373c-41ea-8659-9a2964f3aa0d,e114dd70-fc9f-408c-b995-490a920d54cb,dbaf31cd-e3a2-418a-9674-c3fcf6490180,2,104.77
da3d342d-17ab-49c2-938a-c51f2d697d71,95e80db9-0bea-4fed-9945-e2f2625a7664,1bf8ee95-af76-43c6-9ce3-9b753eb92a32,1,40.99
05624993-d139-4e48-8fed-67775a60daef,e06f1181-9222-4e64-8648-044e1feedad8,1d2f0d7e-6aba-42a8-b2fd-d4c37f9ea218,2,36.52
45f49f59-3d21-4d13-8997-5220e7da00e2,e06f1181-9222-4e64-8648-044e1feedad8,5e2527eb-4b5d-4678-b516-36dcf9003b79,3,42.77
76927f7e-a52f-4cb9-822e-ed10beff90f3,e06f1181-9222-4e64-8648-044e1feedad8,42a7a706-1a2a-456f-8338-fdbc424bb3c8,1,89.21
3696709c-db22-4590-84e9-18aec28b6b55,e06f1181-9222-4e64-8648-044e1feedad8,a63f7ef9-a9dd-4180-a27a-c18eca5318ee,2,229.73
f9d21b96-23d2-48be-a8d3-7277bb4ca7c5,1c7b8bba-7c82-498b-a399-050854300f39,4c450e9e-cd5c-4b15-8ea7-b61d5cda082d,3,104.07
c733fb8c-445a-4d05-8e77-6fa3790bb887,1c7b8bba-7c82-498b-a399-050854300f39,d018e1e9-fb3e-40b6-bd71-3286a0fe8eda,3,9.13
d04b3b64-0a22-4aff-baac-a6c7fb668501,1c7b8bba-7c82-498b-a399-050854300f39,657f7862-251e-4299-b2ed-f6c5e70bf2cd,2,85.82
